trader_name,trader_wallet,trader_strategy,condition_id,title,outcome,avg_price,price_bucket,realized_pnl,total_bought,total_sold,strategy
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Will Donald Trump win the 2024 US Presidential Election?,YES,0.543479,0.50-0.70,9710283.24943,25223698.731331,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,YES,0.317061,0.30-0.50,3759116.568118,5562803.364744999,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x2010ff3939e8e664dd57369aa907bbaa6d03ae18be27fe3ab2f4cdcb95a8b2ab,Will a Republican win the popular vote and the Presidency? ,YES,0.285847,0.20-0.30,794764.160239,1123307.428771,0.0,early_entry_yes
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x0c12d7b5322f432a0c4ac8806b476c7483c4d44061ca1188b6f749ec9db34996,Will Nikki Haley win the popular vote in the 2024 Presidential Election?,YES,0.001,0.00-0.10,761832.780806,1526719.194,0.0,early_entry_yes
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0xa923afcb8297e3ade170f2f8c088f3c277557fadef2c67054d72cc59f8504b2b,Will a Republican win Pennsylvania Presidential Election?,YES,0.514945,0.50-0.70,714660.880143,1473360.505806,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,NO,0.369115,0.30-0.50,698205.872668,1418871.672016,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x037c9d29c04a2f6a5373ae7db7779cb40a751ca372de1e55999397a8f571c67e,Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,YES,0.001101,0.00-0.10,516816.081025,2245662.102,0.0,early_entry_yes
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x02bc0bbff054877a08cdc4f9ccf4e7606804bc05c27f5faccf26c6e1666a5558,Will a Democrat win Pennsylvania Presidential Election?,NO,0.521531,0.50-0.70,486140.781995,1088561.206672,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0xbb01eefb24a38a9aa1921ec168d3049e7374b28a2540937d06b3ff2524d66627,Will a Republican win Michigan Presidential Election?,YES,0.475648,0.30-0.50,362181.071427,690721.254858,0.0,predictive
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,MARKET_MAKER,0x1092f6af37037a3539947b2052eeffff3608e2b68926340cab146369d3d2aac9,Will a Democrat win Michigan Presidential Election?,NO,0.475729,0.30-0.50,309903.335859,591112.870748,0.0,predictive
