name,wallet,pnl,volume,total_positions,win_rate,strategy_type,algo_signals,resolution_exploit_pct,predictive_pct,market_making_pct,loss_pct,extreme_high_price_pct,extreme_low_price_pct,both_sides_pct,both_sides_markets,unique_markets,pnl_resolution,pnl_predictive,pnl_mm,pnl_loss,prices_0_10,prices_10_20,prices_20_30,prices_30_50,prices_50_70,prices_70_80,prices_80_90,prices_90_95,prices_95_100
Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,16619506.63,76643457.17,66,0.6061,MARKET_MAKER,24/7|high_diversity,0.0455,0.7879,0.0,0.1667,0.1364,0.1818,0.4667,21,45,22912.55,17082461.38,0,-485867.32,8,4,5,16,14,6,4,2,7
kch123,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,8744742.97,227039535.66,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,0.998,0.0,0.0,0.002,0.004,0.0081,4,496,0,49491768.169999994,0,0,0,2,19,239,209,25,5,1,0
gmanas,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,5533426.43,406967133.17,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,0.998,0.0,0.0,0.002,0.074,0.0121,6,494,0,47124334.05,0,0,26,11,7,272,161,16,6,0,1
432614799197,0xdc876e6873772d38716fda7f2452a78d426d7ab6,5208408.67,104591531.58,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,500,0,25570394.299999997,0,0,0,0,2,286,195,17,0,0,0
0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,0x006cc834cc092684f1b56626e23bedb3835c16ea,5159747.51,58663808.6,492,0.4756,PREDICTIVE,high_volume|high_freq|24/7|high_turnover|high_diversity,0.002,0.4817,0.0,0.5142,0.0183,0.0366,0.1942,80,412,0.07,14523885.26,0,-9364507.55,3,15,17,268,163,13,4,4,5
DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,4431936.6,113647468.51,500,0.946,PREDICTIVE,high_volume|high_freq|24/7|high_turnover|high_diversity,0.01,0.962,0.0,0.024,0.028,0.086,0.0352,17,483,26811.129999999997,22323118.24,0,-3860.59,21,22,38,156,157,52,40,10,4
RN1,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,4226752.95,185794075.57,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.006,0.994,0.0,0.0,0.0,0.076,0.0081,4,496,33167.49,9612850.32,0,0,13,25,40,226,180,14,2,0,0
swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,3710871.87,331178227.87,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,1.0,0.0,0.0,0.0,0.016,0.0,0,500,0,21232440.919999998,0,0,0,8,45,223,189,31,4,0,0
SeriouslySirius,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,3647648.03,192646024.94,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|high_turnover|high_diversity,0.0,1.0,0.0,0.0,0.0,0.002,0.0,0,500,0,37031356.86,0,0,0,1,6,338,149,4,2,0,0
gopatriots,0xe20a1538293903b746ffe6c4ce2d5c3c0300e469,3467193.97,61417568.43,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,0.992,0.0,0.0,0.008,0.026,0.0101,5,495,0,13761687.690000001,0,0,1,12,18,210,186,39,30,4,0
fengdubiying,0x17db3fcd93ba12d38382a0cade24b200185c5f6d,3133968.2,17303665.9,97,0.9588,PREDICTIVE,high_wr|high_diversity,0.0206,0.9175,0.0,0.0412,0.2887,0.0206,0.0211,2,95,4282.65,3910347.33,0,-334708.53,1,1,3,8,26,16,14,6,22
SwissMiss,0xdbade4c82fb72780a0db9a38f821d8671aba9c95,2960869.3,65716618.31,500,0.912,PREDICTIVE,high_volume|24/7|high_turnover|high_diversity,0.07,0.848,0.0,0.074,0.21,0.038,0.0163,8,492,143965.25,11712674.829999998,0,-7571.53,12,7,19,117,144,42,54,45,60
ImJustKen,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,2950936.52,450895142.85,500,1.0,PREDICTIVE,high_volume|high_wr|24/7|high_turnover|high_diversity,0.194,0.804,0.0,0.0,0.024,0.804,0.0142,7,493,2998280.2199999997,13769972.65,0,0,370,32,26,26,16,9,9,2,10
GamblingIsAllYouNeed,0x507e52ef684ca2dd91f90a9d26d149dd3288beae,2769594.75,182403500.41,500,1.0,PREDICTIVE,high_volume|high_wr|high_freq|24/7|high_turnover|high_diversity,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0,500,0,12145282.919999998,0,0,1,4,17,199,227,44,8,0,0
primm,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,2621797.6,31792207.34,278,0.9748,PREDICTIVE,high_volume|high_wr|24/7|high_turnover|high_diversity,0.0,0.9748,0.0,0.0252,0.0,0.0252,0.0072,2,276,0,8719626.21,0,-136986.44,1,6,17,104,139,8,3,0,0
tazcot,0x343d4466dc323b850e5249394894c7381d91456e,2604547.67,8132604.97,34,0.5882,PREDICTIVE,high_freq|high_diversity,0.0,0.5882,0.0,0.4118,0.0,0.0,0.0303,1,33,0,3250797.24,0,-646249.58,0,0,2,17,14,1,0,0,0
